회사이름,위치,위도,경도,규모,상장여부,로봇 유형,부분별,수상,,설립일,부지 선정 이유
(주)테솔로,경기 광명시 일직로 43 일직동 GIDC A동 26층,37.2710822,127.0665664,중소기업,비상장,picking,ict,2023 WIS 혁신상(과학기술정보통신부 장관상)수상,,2019,
클로봇,경기 성남시 분당구 성남대로 925번길 16 야탑동 벤처오피스 7층 701호,37.4130682,127.1272313,벤처기업,비상장,"guide, picking, AMR",로봇SW/플랫폼,"로봇 자율주행 기술을 확보하고 있으며, 2019 신용보증기금 퍼스트펭귄형 창업기업에 선정되었다. 2020~2022 3년 연속 올해의 대한민국 로봇기업에 선정되었다.",,,
로보티즈,서울 강서구 마곡중앙5로 1길 37 마곡동 (주)로보티즈,37.5701649,126.8264819,중소기업,상장,"delivery, motor",로봇부품,"2020 대한민국 중소기업 규제혁신 대상(중기부), 2021 가족친화인증기업(여성가족부), 2021~2022 2년 연속 수상을 포함해 올해의 대한민국 로봇기업에 4회 선정되었다.",LG전자 2018년 인수,1999,
(주)고스트로보틱스테크놀로지,서울 강남구 봉은사로 33길 24 논현동 케이알엠빌딩,37.5082301197085,127.034035519708,중소기업,비상장,4foot,산업용 로봇,"미국 고스트 로보틱스로 군사용, 재난용 4족 로봇",,2022,
(주)씨디알시스템,"경기 화성시 동탄역로 160, 롯데백화점 동탄점 비3, 카이스트 화성시 사이언스 허브",37.200492,127.0974519,중소기업,비상장,education,,,,2020,
주식회사 루덴스파트너스 ,"인천 연수구 송도문화로 119, B동 1006호 ",37.3739085197085,126.666617119709,중소기업,비상장,food,,,,2019,
(주)베이리스,"경기 성남시 수정구 창업로 42, 725호, 726호, 727호, 728호 ",37.41108,127.094741,중소기업,비상장,delivery,,,,2012,
큐렉소(주),"서울 송파구 위례순환로 480, 3, 4층 (장지동,케이알산업빌딩) ",37.5078937,127.0840943,중견기업,상장,surgery,전문 서비스 로봇,"2020 혁신형 의료기기기업 선정(보건복지부 장관), 2022 제4회 대한민국 중소기업/스타트업 대상(뉴스핌), 2020~2022 3년 연속 올해의 대한민국 로봇기업에 선정되었다.",수술용 의료 로봇 전문기업,1992,
(주)제우스로보틱스,"경기 화성시 동탄기흥로 557, 1107호 ",37.2116712802915,127.093602780292,중소기업,비상장,"cleaning, guard",,,,2021,
(주)인텔렉투스,"서울 서초구 남부순환로350길 19-26, 3층 ",37.5009452,127.0361278,중소기업,비상장,data analysis,,,,2020,
(주)세오,"경기 안양시 동안구 흥안대로427번길 16, 801,802,803,804,819,820",37.3923387,126.9715893,중소기업,비상장,security,,,,2004,
에이알247(주),"경기 성남시 분당구 성남대로43번길 10, 하나이지타워 6층 601호, 602호, 603호 알650호 ",37.331739,126.729394,중소기업,비상장,delivery,,,,1996,
